raw_id,lead_id,sales_exec,assigned_to_user_id_or_blank
15469,5614,,
15470,5614,,
6,5071,,
15471,5614,,
10,5071,,
15472,5614,,
15473,5614,,
14,5071,,
7652,5614,,
3794,5071,,
17,5075,,
15474,5614,,
22,5075,,
20,5076,,
35,5075,,
23,5077,,
15475,5614,,
15476,5614,,
7655,5614,,
37,5075,,
47,5075,,
15477,5614,,
7656,5614,,
8740,5071,,
8743,5075,,
11615,5071,,
15478,5614,,
49,5075,,
50,5075,,
15479,5614,,
8746,5076,,
52,5075,,
54,5075,,
7658,5614,,
56,5075,,
8749,5077,,
11618,5075,,
15421,5614,,
15480,5614,,
7659,5614,,
8745,5075,,
74,5075,,
11620,5075,,
76,5075,,
277,5076,,
80,5075,,
82,5075,,
87,5075,,
88,5087,,
89,5088,,
3800,5076,,
84,5075,,
92,5075,,
11621,5076,,
96,5091,,
97,5092,,
8761,5075,,
98,5075,,
8748,5075,,
11623,5075,,
8762,5080,,
8763,5075,,
103,5075,,
11624,5077,,
15485,5614,,
110,5091,,
7664,5614,,
1914,5075,,
8773,5075,,
48,5075,,
8775,5075,,
8776,5075,,
151,5104,,
8779,5075,,
149,5099,,
53,5075,,
8780,5075,,
4974,5075,,
156,5075,,
158,5102,,
159,5075,,
1460,5075,,
157,5101,,
15490,5614,,
8782,5075,,
15491,5614,,
7670,5614,,
57,5075,,
172,5104,,
15492,5614,,
169,5103,,
171,5100,,
176,5075,,
7671,5614,,
173,5075,,
175,5105,,
179,5075,,
15493,5614,,
177,5075,,
180,5106,,
184,5110,,
11636,5075,,
181,5107,,
3815,5075,,
185,5075,,
186,5111,,
15494,5614,,
36,5080,,
11637,5080,,
199,5075,,
200,5075,,
15495,5614,,
201,5075,,
15422,5614,,
11638,5075,,
202,5075,,
203,5114,,
204,5075,,
208,5075,,
206,5075,,
207,5116,,
15496,5614,,
15497,5614,,
15498,5614,,
15499,5614,,
73,5075,,
224,5075,,
225,5075,,
8801,5086,,
222,5075,,
223,5075,,
8800,5075,,
77,5075,,
227,5075,,
230,5122,,
232,5075,,
234,5075,,
235,5124,,
8808,5075,,
246,5075,,
248,5124,,
8813,5075,,
8814,5087,,
256,5129,,
257,5075,,
254,5075,,
255,5133,,
260,5130,,
261,5131,,
8818,5075,,
258,5075,,
259,5132,,
262,5129,,
264,5130,,
8822,5091,,
15423,5614,,
11648,5075,,
3827,5075,,
271,5071,,
8823,5092,,
274,5075,,
1506,5478,,
19,5075,,
276,5075,,
279,5075,,
280,5077,,
8774,5075,,
11649,5075,,
8829,5075,,
294,5075,,
305,5075,,
292,5075,,
293,5080,,
11650,5075,,
306,5075,,
11651,5075,,
15512,5614,,
304,5075,,
309,5075,,
310,5075,,
311,5075,,
307,5075,,
313,5075,,
314,5075,,
5437,5075,,
15513,5614,,
8836,5091,,
7692,5614,,
330,5075,,
8778,5075,,
15514,5614,,
332,5086,,
334,5075,,
15515,5614,,
11653,5075,,
337,5075,,
15516,5614,,
15517,5614,,
15518,5614,,
11654,5075,,
341,5075,,
15519,5614,,
345,5087,,
15520,5614,,
11655,5075,,
354,5092,,
355,5075,,
353,5091,,
15521,5614,,
360,5075,,
15522,5614,,
15523,5614,,
367,5091,,
11657,5075,,
7372,5614,,
8783,5075,,
11658,5075,,
15524,5614,,
1586,5075,,
15525,5614,,
15526,5614,,
15527,5614,,
406,5099,,
407,5075,,
408,5104,,
15528,5614,,
413,5075,,
414,5101,,
15529,5614,,
416,5075,,
15530,5614,,
15531,5614,,
426,5103,,
428,5100,,
429,5104,,
430,5075,,
432,5105,,
433,5075,,
435,5075,,
438,5107,,
15425,5614,,
437,5106,,
439,5108,,
15535,5614,,
441,5110,,
7412,5614,,
8875,5099,,
15537,5620,,
8877,5104,,
455,5107,,
153,5100,,
456,5075,,
457,5075,,
460,5114,,
461,5075,,
8879,5100,,
458,5075,,
15539,5614,,
463,5075,,
464,5116,,
466,5117,,
8882,5075,,
8799,5075,,
11674,5075,,
468,5119,,
15540,5614,,
8884,5102,,
331,5075,,
8883,5101,,
11675,5075,,
15541,5276,,
8885,5075,,
15542,5614,,
8888,5103,,
479,5075,,
481,5075,,
75,5086,,
482,5075,,
11676,5086,,
15543,5614,,
8802,5075,,
162,5103,,
229,5075,,
333,5075,,
11677,5075,,
15544,5614,,
489,5075,,
15545,5614,,
491,5075,,
3856,5075,,
8803,5075,,
11678,5075,,
503,5075,,
504,5122,,
505,5124,,
8894,5102,,
8896,5075,,
511,5075,,
8895,5103,,
514,5075,,
170,5075,,
512,5133,,
515,5075,,
516,5132,,
518,5131,,
519,5129,,
8898,5104,,
8806,5075,,
11681,5075,,
8899,5075,,
521,5130,,
265,5133,,
7773,5614,,
174,5099,,
431,5099,,
8900,5099,,
339,5075,,
8902,5075,,
536,5075,,
539,5075,,
11683,5075,,
541,5135,,
434,5075,,
542,5075,,
8905,5075,,
8810,5075,,
8904,5075,,
11685,5075,,
550,5075,,
15426,5614,,
436,5075,,
8906,5106,,
8908,5108,,
555,5075,,
8907,5107,,
558,5148,,
182,5108,,
559,5140,,
556,5138,,
344,5075,,
560,5141,,
562,5143,,
11688,5075,,
8910,5110,,
8912,5111,,
15427,5614,,
11689,5087,,
8911,5075,,
8815,5088,,
15556,5614,,
15557,5614,,
3966,5111,,
15558,5614,,
346,5088,,
11690,5088,,
574,5148,,
15559,5614,,
580,5150,,
582,5075,,
583,5151,,
15560,5614,,
584,5152,,
349,5075,,
588,5154,,
11693,5075,,
589,5155,,
15561,5614,,
593,5151,,
594,5153,,
15562,5614,,
596,5155,,
15563,5614,,
603,5075,,
604,5157,,
15428,5614,,
198,5107,,
608,5159,,
8924,5107,,
8925,5075,,
8927,5075,,
15429,5614,,
11697,5091,,
8926,5075,,
15564,5614,,
15565,5614,,
11698,5092,,
459,5075,,
615,5075,,
636,5075,,
637,5075,,
638,5075,,
5311,5529,,
617,5075,,
619,5160,,
620,5075,,
621,5161,,
622,5162,,
625,5075,,
623,5075,,
15566,5614,,
8931,5115,,
8824,5075,,
8930,5075,,
205,5115,,
631,5075,,
8933,5116,,
15567,5614,,
639,5075,,
641,5075,,
11699,5075,,
640,5164,,
3878,5075,,
644,5075,,
15568,5614,,
465,5075,,
645,5167,,
646,5075,,
15569,5614,,
648,5075,,
649,5169,,
15570,5614,,
211,5119,,
665,5075,,
667,5075,,
663,5174,,
660,5075,,
661,5075,,
662,5075,,
668,5175,,
15571,5614,,
15572,5614,,
678,5075,,
11704,5075,,
15573,5614,,
684,5075,,
713,5075,,
1845,5539,,
686,5075,,
693,5180,,
691,5075,,
15574,5614,,
694,5075,,
698,5075,,
702,5181,,
705,5182,,
8948,5075,,
706,5075,,
8950,5075,,
714,5186,,
715,5075,,
724,5194,,
8951,5075,,
8954,5075,,
722,5285,,
723,5187,,
727,5075,,
15580,5614,,
15581,5614,,
487,5122,,
11711,5091,,
15582,5614,,
15583,5614,,
488,5075,,
741,5192,,
745,5075,,
746,5195,,
15430,5614,,
8958,5075,,
743,5194,,
15584,5614,,
15585,5614,,
750,5199,,
8961,5124,,
751,5075,,
8960,5075,,
15431,5614,,
