lead_id,raw_rows_count
5072,3714
5075,2460
5569,2245
5297,2225
5614,2083
5607,51
5345,32
5450,25
5550,24
5084,22
5353,22
5090,21
5089,21
5451,20
5525,20
5171,20
5207,20
5321,20
5083,20
5546,20
5137,19
5441,19
5251,19
5071,18
5257,17
5081,17
5288,17
5121,17
5093,17
5430,16
5567,16
5337,16
5365,16
5136,16
5427,16
5575,16
5188,16
5144,15
5176,15
5281,15
5435,15
5256,14
5085,14
5112,14
5560,14
5412,14
5103,13
5094,13
5146,13
5082,13
5593,13
5102,13
5524,12
5305,12
5274,12
5526,12
5280,12
5346,12
5360,12
5272,12
5423,12
5468,12
5376,12
5476,12
5549,12
5596,11
5184,11
5109,11
5287,11
5330,11
5332,10
5158,10
5273,10
5246,10
5122,10
5099,10
5276,10
5586,10
5091,10
5201,10
5129,10
5104,10
5172,10
5437,10
5133,10
5107,10
5132,10
5200,10
5130,10
5124,10
5606,10
5100,10
5348,10
5113,9
5361,9
5078,9
5096,9
5128,9
5074,9
5123,9
5125,9
5266,9
5098,9
5145,9
5106,9
5079,9
5076,9
5095,9
5179,9
5285,8
5387,8
5553,8
5604,8
5178,8
5336,8
5505,8
5588,8
5442,8
5319,8
5464,8
5419,8
5418,8
5168,8
5572,8
5292,8
5610,8
5483,8
5456,8
5439,8
5191,8
5564,8
5189,8
5449,8
5140,8
5491,8
5477,8
5193,8
5334,8
5208,8
5139,8
5303,8
5267,8
5457,8
5482,8
5177,8
5571,8
5559,8
5271,8
5322,8
5381,8
5279,8
5307,8
5408,8
5554,8
5153,8
5194,8
5197,8
5448,8
5328,8
5591,8
5386,8
5222,8
5151,8
5600,8
5155,8
5196,8
5335,8
5443,8
5101,8
5233,8
5342,8
5333,8
5149,8
5592,8
5578,8
5417,8
5478,8
5198,8
5232,8
5587,8
5480,8
5316,8
5320,8
5148,8
5209,8
5580,8
5323,8
5479,8
5368,7
5185,7
5073,7
5352,7
5543,7
5118,7
5324,7
5516,7
5291,7
5162,6
5278,6
5225,6
5411,6
5224,6
5214,6
5213,6
5565,6
5269,6
5258,6
5241,6
5492,6
5603,6
5582,6
5568,6
5220,6
5240,6
5218,6
5452,6
5556,6
5245,6
5247,6
5595,6
5270,6
5396,6
5458,6
5086,5
5088,5
5119,5
5077,5
5115,5
5608,5
5087,5
5110,5
5111,5
5114,5
5108,5
5105,5
5131,5
5092,5
5080,5
5117,5
5116,5
5126,5
5097,5
5120,5
5127,5
5542,4
5206,4
5501,4
5169,4
5308,4
5259,4
5590,4
5230,4
5540,4
5424,4
5397,4
5377,4
5508,4
5311,4
5484,4
5261,4
5601,4
5466,4
5253,4
5350,4
5547,4
5383,4
5438,4
5363,4
5404,4
5255,4
5620,4
5141,4
5421,4
5374,4
5583,4
5487,4
5235,4
5602,4
5351,4
5231,4
5493,4
5372,4
5367,4
5414,4
5461,4
5469,4
5436,4
5486,4
5498,4
5627,4
5433,4
5312,4
5228,4
5447,4
5237,4
5472,4
5356,4
